Organismo;Conjuntos de datos;Recursos;Formatos
"Agencia Española de Protección de Datos";2;2;"PDF"
"Agencia Estatal Boletín Oficial del Estado";10;10;"HTML, XHTML"
"Agencia Estatal Consejo Superior de Investigaciones Científicas";16;19;"HTML, PDF"
"Agencia Estatal de Administración Tributaria";29;61;"Calendar, HTML, PDF, RSS, XHTML, XLS, ZIP"
"Agencia Estatal de Evaluación de las Políticas Públicas y la Calidad de los Servicios";10;21;"HTML, ZIP"
"Agencia Estatal de Meteorología";11;10;"ASCII, CSV, PDF, XML-APP"
"Autoridad Portuaria de Baleares";17;20;"CSV, HTML, PDF, PNG, XLS"
"Autoridad Portuaria de Barcelona";61;495;"ASCII, CSV, DGN, DWG, HTML, JSON, PDF, SHP, WMS, XLS, XLSX, XML-APP"
"Autoridad Portuaria de Cartagena";7;35;"CSV, HTML, PDF, XLSX"
"Autoridad Portuaria de Ceuta";3;4;"PDF, XLS, XLSX"
"Autoridad Portuaria de Gijon";5;5;"HTML, XHTML"
"Autoridad Portuaria de Marín y Ría de Pontevedra";7;7;"HTML, PDF"
"Autoridad Portuaria de Melilla";3;3;"HTML"
"Autoridad Portuaria de Motril";8;18;"HTML, PDF"
"Autoridad Portuaria de Santander";5;5;"HTML, PDF, XHTML"
"Autoridad Portuaria de Tarragona";4;4;"CSV, KMZ, XLS"
"Ayuntamiento de Alcobendas";200;890;"CSV, JSON, JSON-LD, KML, ODS, ODT, PDF, RDF-XML, RSS, SHP, XLS, XLSX, XML, ZIP"
"Ayuntamiento de Alcoy";20;58;"CSV, GeoJSON, JSON, KML, ZIP"
"Ayuntamiento de Arganda del Rey";652;2288;"CSV, HTML, JPG, JSON, KML, PDF, SHP, XLS, XLSX"
"Ayuntamiento de Badia del Vallès";11;108;"CSV, JSON, JSON-LD, RDF-N3, RDF-Turtle, RDF-XML, SHP, XLS, plain"
"Ayuntamiento de Barcelona";469;2411;"CSV, Calendar, HTML, JSON, KML, KMZ, OCTET-STREAM, RDF-XML, SHP, TIFF, WMS, XLS, XLSX, XML-APP, ZIP, plain"
"Ayuntamiento de Bilbao";212;271;"CSV, JSON, RDF-XML, RSS, WMS, XML-APP"
"Ayuntamiento de Cartagena";20;67;"CSV, HTML, RDF-Turtle, RDF-XML"
"Ayuntamiento de Cáceres";116;914;"CSV, GeoJSON, JSON, OCTET-STREAM, PDF, RDF-Turtle, SPARQL, XLS, ZIP"
"Ayuntamiento de Donostia/San Sebastián";66;153;"API, CSV, JSON, KML, RDF-Turtle, RDF-XML, RSS, XLS, XLSX, XML"
"Ayuntamiento de Gijón";782;5301;"CSV, HTML, JSON, KML, PDF, RDF-N3, RDF-Turtle, RDF-XML, RSS, WFS, WMS, XLS, XML-APP, plain"
"Ayuntamiento de Jerez de la Frontera";1;3;"CSV, PDF, XLS"
"Ayuntamiento de L'Hospitalet de Llobregat";2;11;"API, CSV, HTML, JSON, RSS, TSV, XML"
"Ayuntamiento de Las Palmas de Gran Canaria";90;910;"Atom, CSV, HTML, JSON, JSON-LD, KMZ, ODS, RDF-N3, RDF-Turtle, RDF-XML, RSS, WFS, WMS, XLS, XLSX, ZIP"
"Ayuntamiento de Lorca";189;917;"CSV, HTML, JSON, KML, KMZ, PDF, RDF-XML, SHP, XLS, XML, ZIP"
"Ayuntamiento de Madrid";437;4015;"CSV, GPX, GZIP, HTML, JSON, KML, KMZ, PDF, RDF-XML, RSS, XLS, XML, XML-APP, ZIP, plain"
"Ayuntamiento de Manlleu";7;31;"API, CSV, JSON, KML, SHP"
"Ayuntamiento de Martos";3;6;"JSON, RSS"
"Ayuntamiento de Málaga";890;2143;"CSV, GML, HTML, JSON, KML, KMZ, PDF, RSS, SHP, TSV, XLS, XLSX, ZIP"
"Ayuntamiento de Pamplona";14;35;"CSV, PDF, XLS, XML, XML-APP"
"Ayuntamiento de Rivas-Vaciamadrid";60;331;"CSV, JSON, JSON-LD, KML, RDF-XML, SHP, XLS, XLSX, ZIP"
"Ayuntamiento de San Sebastián de los Reyes";51;97;"CSV, HTML, ODS, PDF, XLS"
"Ayuntamiento de Sant Feliu de Llobregat";49;1676;"Atom, CSV, GML, HTML, JSON, JSON-LD, KML, PDF, RDF-N3, RDF-Turtle, RDF-XML, RSS, SHP, TSV, WFS, WMS, XLSX, XML-APP"
"Ayuntamiento de Santa Cruz de Tenerife";90;715;"CSV, HTML, JSON, KML, KMZ, PDF, RDF-XML, SHP, XLS, XLSX"
"Ayuntamiento de Santander";88;1232;"Atom, CSV, HTML, JSON, JSON-LD, KMZ, OCTET-STREAM, RDF-N3, RDF-Turtle, RDF-XML, RSS, XLS, XML-APP, ZIP"
"Ayuntamiento de Tarragona";1;2;"CSV, JSON"
"Ayuntamiento de Torrent";175;251;"CSV, JSON, KML, RSS, SHP"
"Ayuntamiento de Valencia";115;767;"Atom, CSV, GML, HTML, JSON, JSON-LD, KML, KMZ, OCTET-STREAM, RDF-N3, RDF-Turtle, RDF-XML, RSS, WFS, WMS, XML-APP, ZIP"
"Ayuntamiento de Villanueva de la Serena";46;438;"CSV, DOC, DOCX, GeoJSON, HTML, JSON, KML, ODS, ODT, PDF, PNG, RTF, SHP, WMS, XLSX, XML"
"Ayuntamiento de Vitoria-Gasteiz";150;462;"CSV, HTML, JSON, OCTET-STREAM, ODS, ODT, PDF, RSS, TIFF, XLS, XML, XML-APP, plain"
"Ayuntamiento de Zaragoza";136;393;"API, Atom, CSV, DWG, DjVu, GeoRSS, HTML, JSON, N3, ODS, PDF, RDF-XML, RSS, SOAP, SPARQL, SPARQL-JSON, SPARQL-XML, Solr, TURTLE, WMS-XML, XLS, XML, ZIP"
"Ayuntamiento de la Pobla de Vallbona";2;7;"CSV, HTML"
"Biblioteca Nacional de España";273;1791;"API, CSV, HTML, JSON, MARC, ODS, PDF, RDF-Turtle, XLS, XLSX, XML, plain"
"Cabildo Insular de Tenerife";25;82;"CSV, GeoJSON, XLS"
"Centro Nacional de Información Geográfica";77;186;"ASCII, Atom, CSV, DGN, ECW, GDB, JPG, KML, LAS, MDB, PDF, SHP, TIFF, WCS, WFS, WMS, XLS, ZIP"
"Centro de Estudios Jurídicos";1;1;"HTML"
"Centro de Estudios Políticos y Constitucionales";2;2;"XHTML"
"Centro de Estudios y Experimentación de Obras Públicas";3;3;"HTML, XHTML"
"Centro de Investigaciones Energéticas,, Medioambientales y Tecnológicas";5;10;"CSV, XML, XML-APP"
"Centro de Investigaciones Sociológicas";2218;5998;"ASCII, PDF"
"Centro para el Desarrollo Tecnológico Industrial";9;18;"PDF, XHTML"
"Comisionado para el Mercado de Tabacos";1;1;"XLSX"
"Comisión Nacional de los Mercados y la Competencia";21;31;"PDF, XHTML, ZIP"
"Comisión Nacional del Mercado de Valores";14;20;"PDF, XBRL, XHTML, XLSX"
"Compañia Española de Financiacion del Desarrollo Cofides,, S.A.";1;1;"XHTML"
"Comunidad Autónoma de Canarias";183;2811;"CSV, GML, HTML, JSON, KMZ, ODS, PDF, RSS, SHP, XLS, XLSX, ZIP"
"Comunidad Autónoma de Castilla-La Mancha";265;524;"CSV, HTML, JSON, PDF, SHP, XLS, XLSX, XML, ZIP"
"Comunidad Autónoma de País Vasco";6149;15471;"API, ASCII, CSV, CSW, Calendar, ECW, GeoJSON, HTML, JPG, JSON, KML, KMZ, MDB, ODS, PC-Axis, PDF, RDF-Turtle, RDF-XML, RSS, SHP, SPARQL-XML, TBX, TIFF, TMX, WCS, WMS, XLS, XLSX, XML, ZIP, vCard-XML"
"Comunidad de Madrid";181;427;"CSV, DOCX, HTML, JSON, SHP, WMS, XLSX, ZIP"
"Concello de Santiago de Compostela";34;63;"CSV, ODS, SHP, XLS"
"Confederación Hidrográfica del Guadalquivir";52;619;"HTML, JPG, KMZ, ODS, PDF, PNG, SHP, TIFF, WCS, WFS, WMS, ZIP"
"Confederación Hidrográfica del Júcar";13;50;"CSV, HTML, PDF, SHP, XML, XML-APP"
"Consorcio de la Zona Franca de Cádiz";4;4;"XHTML"
"Consorcio de la Zona Franca de Vigo";4;4;"XHTML"
"Diputación Foral de Bizkaia";168;2708;"API, CSV, JSON, RDF-Turtle, RDF-XML, RSS, XLSX, XML"
"Diputación Foral de Gipuzkoa";399;1753;"API, CSV, JPG, JSON, KML, ODS, PDF, RDF-Turtle, RDF-XML, RSS, TMX, XLS, XLSX, XML"
"Diputación Provincial de Barcelona";53;313;"API, CSV, HTML, JSON, KMZ, PDF, RDF-XML, RSS, SHP, WMS, XLS, XML, ZIP"
"Diputación Provincial de Castelló/Castellón";67;682;"CSV, GML, JSON, JSON-LD, KML, KMZ, OCTET-STREAM, RDF-N3, RDF-Turtle, RDF-XML, SHP, XLS, XLSX, XML, plain"
"Diputación Provincial de Cádiz";52;428;"Atom, CSV, GML, HTML, JSON, JSON-LD, KML, ODS, RDF-N3, RDF-Turtle, RDF-XML, RSS, SHP, WMS, XLS, XML-APP"
"Diputación de Pontevedra";28;31;"SHP, WMS, XLSX"
"Entidad Estatal de Seguros Agrarios";1;1;"HTML"
"Fondo Español de Garantía Agraria";12;97;"HTML, PDF, XLS"
"Fondo de Garantía Salarial";4;8;"CSV, XLS"
"Fundación Española para la Ciencia y la Tecnología";14;22;"CSV, HTML, RSS"
